Train Accuracy: 0.85702, Test Accuracy: 0.8607
Train Accuracy: 0.86406, Test Accuracy: 0.8654999999999999
Train Accuracy: 0.8628, Test Accuracy: 0.8641
Train Accuracy: 0.86544, Test Accuracy: 0.8662
Train Accuracy: 0.86242, Test Accuracy: 0.8619
Train Accuracy: 0.86016, Test Accuracy: 0.8591
Train Accuracy: 0.85762, Test Accuracy: 0.8578
Train Accuracy: 0.8582, Test Accuracy: 0.8621
Train Accuracy: 0.85808, Test Accuracy: 0.8626
Train Accuracy: 0.8558, Test Accuracy: 0.8605
Train Accuracy: 0.86242, Test Accuracy: 0.8642
Train Accuracy: 0.86546, Test Accuracy: 0.8665
Train Accuracy: 0.86116, Test Accuracy: 0.8612
Train Accuracy: 0.85378, Test Accuracy: 0.8553
Train Accuracy: 0.86148, Test Accuracy: 0.8638
Train Accuracy: 0.85868, Test Accuracy: 0.8611
Train Accuracy: 0.86204, Test Accuracy: 0.8657
Train Accuracy: 0.8666, Test Accuracy: 0.8741
Train Accuracy: 0.86316, Test Accuracy: 0.8652
Train Accuracy: 0.86134, Test Accuracy: 0.8627
Train Accuracy: 0.86512, Test Accuracy: 0.8701
Train Accuracy: 0.8630599999999999, Test Accuracy: 0.863
Train Accuracy: 0.85652, Test Accuracy: 0.8567
Train Accuracy: 0.85842, Test Accuracy: 0.8658
Train Accuracy: 0.86018, Test Accuracy: 0.8624
Train Accuracy: 0.8667199999999999, Test Accuracy: 0.8662
Train Accuracy: 0.86376, Test Accuracy: 0.8674
Train Accuracy: 0.86558, Test Accuracy: 0.8709
Train Accuracy: 0.865, Test Accuracy: 0.865
Train Accuracy: 0.86014, Test Accuracy: 0.8573
Train Accuracy: 0.86216, Test Accuracy: 0.8649
Train Accuracy: 0.86146, Test Accuracy: 0.8659
Train Accuracy: 0.86408, Test Accuracy: 0.8619
Train Accuracy: 0.86334, Test Accuracy: 0.8633
Train Accuracy: 0.86454, Test Accuracy: 0.8668
Train Accuracy: 0.86532, Test Accuracy: 0.8672
Train Accuracy: 0.86528, Test Accuracy: 0.8684000000000001
Train Accuracy: 0.8678, Test Accuracy: 0.8709
Train Accuracy: 0.86424, Test Accuracy: 0.8672
Train Accuracy: 0.86164, Test Accuracy: 0.8639
Train Accuracy: 0.86452, Test Accuracy: 0.8613
Train Accuracy: 0.85974, Test Accuracy: 0.8611
Train Accuracy: 0.86286, Test Accuracy: 0.8659
Train Accuracy: 0.86436, Test Accuracy: 0.8669
Train Accuracy: 0.8634999999999999, Test Accuracy: 0.8625
Train Accuracy: 0.8624, Test Accuracy: 0.8628
Train Accuracy: 0.86034, Test Accuracy: 0.8628
Train Accuracy: 0.86616, Test Accuracy: 0.8707
Train Accuracy: 0.85978, Test Accuracy: 0.8613999999999999
Train Accuracy: 0.86682, Test Accuracy: 0.8703
Train Accuracy: 0.8650599999999999, Test Accuracy: 0.8677
Train Accuracy: 0.86214, Test Accuracy: 0.867
Train Accuracy: 0.8627, Test Accuracy: 0.8649
Train Accuracy: 0.86148, Test Accuracy: 0.8613999999999999
Train Accuracy: 0.86528, Test Accuracy: 0.8674
Train Accuracy: 0.8651, Test Accuracy: 0.8658
Train Accuracy: 0.86058, Test Accuracy: 0.8649
Train Accuracy: 0.8634999999999999, Test Accuracy: 0.8657
Train Accuracy: 0.85956, Test Accuracy: 0.8611
Train Accuracy: 0.86736, Test Accuracy: 0.8703
Train Accuracy: 0.8662, Test Accuracy: 0.8696
Train Accuracy: 0.86844, Test Accuracy: 0.8703
Train Accuracy: 0.86126, Test Accuracy: 0.8616
Train Accuracy: 0.86486, Test Accuracy: 0.8678
Train Accuracy: 0.86784, Test Accuracy: 0.8682
Train Accuracy: 0.86878, Test Accuracy: 0.8694
Train Accuracy: 0.8698, Test Accuracy: 0.8691
Train Accuracy: 0.86346, Test Accuracy: 0.8651
Train Accuracy: 0.8679, Test Accuracy: 0.868
Train Accuracy: 0.86692, Test Accuracy: 0.8706
Train Accuracy: 0.8676, Test Accuracy: 0.8696
